generation, id, fitness, candidate
0, 43, 1.07813893336, 176.3516691111031 1.0240730449479234 0.01131407867950125 22.25283333330706
0, 44, 1.08288423218, 192.37421647558986 1.4329187378354178 0.05531483483543176 11.048286314354888
0, 45, 1.08634004908, 169.809474703516 1.668035193202344 0.09747423573620405 4.9973337113484755
0, 46, 1.0926100549, 265.539208843747 1.9272784439713317 0.06626145494092268 1.0651128430635546
0, 47, 1.09682913135, 183.9498603416091 1.2422216782663786 0.010263492599107128 21.079801059611736
0, 48, 1.10079333431, 248.18463802231162 0.684300745111164 0.011368829179270535 16.912591115758673
0, 49, 1.10683179247, 258.2251319976367 1.345529822313794 0.05882361506110972 14.47165042957106
0, 50, 1.10828271563, 138.39886536700777 1.7669176235896704 0.02609649544125611 2.3969026732825394
0, 51, 1.11444131258, 289.6975605726508 1.433778312356475 0.08564134459511777 11.802698795928542
0, 52, 1.11487884052, 211.33489509661075 1.0162857017298297 0.06321268678209013 19.159590840861238
0, 53, 1.12520955584, 296.68239933676887 1.917112413068521 0.07608261139662614 1.4019897029730095
0, 54, 1.1435716515, 195.20674196721902 1.9453444532107735 0.03171815386921593 2.8021099177971593
0, 55, 1.14761842685, 205.73769102405748 0.7413585657561983 0.046282966093725175 24.162149709277863
0, 56, 1.15139345043, 295.3260608742267 0.6093197865154241 0.01925361909702458 32.67344654037312
0, 57, 1.15391203466, 265.2204081422558 1.4958445361311594 0.05189010607132545 12.79583171714103
0, 58, 1.16122276231, 213.28748341845852 0.6915183334024905 0.048820473400878556 25.308143042854127
0, 59, 1.16406807155, 239.04632202808205 0.7379417611268007 0.07317441639888782 10.019686510652706
0, 60, 1.17196107753, 305.6151201002706 0.32397799208408584 0.031812565090694654 34.6997057390556
0, 61, 1.17435207852, 314.6017291602546 0.25801035746826934 0.06400636468878906 19.901237044633113
0, 62, 1.1789149651, 313.14690509261334 1.0391788414264849 0.0932024373807549 4.638383905896543
0, 63, 1.18280289659, 280.116861729003 1.2078576119027824 0.06853823682885972 1.060764109342598
0, 64, 1.18566753697, 113.40477142650943 1.34462228230275 0.04916055310203227 3.7233483460512975
0, 65, 1.18887809155, 268.1563096827234 1.3087551862426112 0.0825646302791773 15.936729455484802
0, 66, 1.19236044142, 343.2254022404595 1.8669291068524625 0.05207265514573559 3.5926750605061626
0, 67, 1.20161128633, 198.5471507722881 1.394382912984483 0.0684479239799984 13.745552634395356
0, 68, 1.21057751779, 177.66723719539442 0.5782647331565933 0.08733979885707402 24.31631150074048
0, 69, 1.22736722724, 162.67278280382806 1.965718970775919 0.026404072573963724 3.469153266676226
0, 70, 1.2619944335, 320.306143479833 0.415579479307722 0.025208051679238588 36.55537847138029
0, 71, 1.26260511169, 218.08969473974676 1.28186264546773 0.05778778515542409 17.923568491171103
0, 72, 1.26872321308, 260.84004061861356 0.33083253426411197 0.04850615212560716 18.20305060435863
0, 73, 1.27436252439, 177.0883707554151 1.3243733880962374 0.09248848835933476 14.841250308437186
0, 74, 1.28600342748, 264.00167860552733 1.6804641050265678 0.027218017560318875 14.103250923288229
0, 75, 1.288810838, 140.55501321082707 1.2258353168393972 0.07735212631881636 13.950945219193805
0, 76, 1.30151490911, 265.3284146700946 1.8461977855283227 0.09549197914316385 7.67342015267023
0, 77, 1.3139662302, 237.9070784581853 0.6620891802823069 0.09682694116765908 10.517099524989849
0, 78, 1.31717657646, 315.58863434495754 1.9705559144971367 0.07342725097039209 5.087560823700869
0, 79, 1.32449128852, 186.0126136628266 0.6206218401880199 0.0649441683645131 26.378861857466894
0, 80, 1.3405465108, 336.26904701081475 1.2471699046157145 0.016770349177540368 27.86517562459261
0, 81, 1.34465332053, 239.11641101632588 0.5868794294560357 0.06372409858174134 30.50112324311154
0, 82, 1.35884569073, 340.00248055771794 0.5679276294810255 0.07475041708147188 33.45551992189379
0, 83, 1.36917896889, 131.66087988075896 1.3135839671037244 0.04854994952640917 13.995243602293248
0, 84, 1.37067768304, 198.72406952551327 1.0175251154342377 0.017868750816813505 28.435559413799616
0, 85, 1.37826958762, 209.56672458261755 1.466386709446124 0.07976511740233808 16.044833767557364
